refers,"(1, 1)"
liberation,"(1, 2)"
army,"(1, 22)"
cleared,"(1, 4)"
actual,"(1, 1)"
operations,"(1, 1)"
began,"(1, 22)"
evening,"(1, 8)"
3,"(1, 12)"
六四运动,"(1, 1)"
liù,"(1, 3)"
sì,"(1, 3)"
yùndòng,"(1, 1)"
八九民运,"(1, 1)"
bā,"(1, 1)"
jiǔ,"(1, 1)"
used,"(1, 12)"
describe,"(1, 3)"
entirety,"(1, 1)"
outside,"(1, 16)"
circles,"(1, 1)"
critical,"(1, 3)"
referred,"(1, 1)"
六四屠殺,"(1, 1)"
六四鎮壓,"(1, 1)"
zhènyā,"(1, 1)"
bypass,"(1, 2)"
internet,"(1, 4)"
censorship,"(1, 4)"
uniformly,"(1, 1)"
considers,"(1, 1)"
mentioned,"(1, 1)"
search,"(1, 1)"
engines,"(1, 1)"
forums,"(1, 1)"
alternative,"(1, 3)"
sprung,"(1, 2)"
35th,"(1, 1)"
viiv,"(1, 1)"
roman,"(1, 1)"
numerals,"(1, 1)"
eight,"(1, 2)"
squared,"(1, 1)"
e,"(1, 4)"
82,"(1, 1)"
64,"(1, 1)"
22,"(1, 3)"
republic,"(1, 3)"
numerous,"(1, 2)"
gradually,"(1, 6)"
reducing,"(1, 1)"
intensity,"(1, 1)"
terminology,"(1, 1)"
applied,"(1, 1)"
unfolding,"(1, 1)"
labelled,"(1, 1)"
counterrevolutionary,"(1, 2)"
riot,"(1, 9)"
later,"(1, 13)"
changed,"(1, 3)"
simply,"(1, 2)"
storm,"(1, 1)"
finally,"(1, 3)"
settled,"(1, 3)"
neutralized,"(1, 1)"
phrase,"(1, 1)"
turmoil,"(1, 10)"
spring,"(1, 1)"
summer,"(1, 2)"
english,"(1, 2)"
terms,"(1, 1)"
often,"(1, 8)"
series,"(1, 3)"
however,"(1, 12)"
much,"(1, 7)"
violence,"(1, 4)"
actually,"(1, 1)"
happen,"(1, 2)"
along,"(1, 8)"
stretch,"(1, 2)"
chang,"(1, 8)"
avenue,"(1, 10)"
miles,"(1, 1)"
long,"(1, 4)"
especially,"(1, 6)"
near,"(1, 6)"
muxidi,"(1, 6)"
area,"(1, 4)"
term,"(1, 1)"
gives,"(1, 1)"
misleading,"(1, 1)"
impression,"(1, 1)"
happened,"(1, 1)"
fact,"(1, 2)"
throughout,"(1, 4)"
background,"(1, 1)"
cultural,"(1, 6)"
revolution,"(1, 6)"
ended,"(1, 2)"
chairman,"(1, 6)"
zedong,"(1, 1)"
spearheaded,"(1, 2)"
caused,"(1, 3)"
severe,"(1, 1)"
damage,"(1, 1)"
originally,"(1, 1)"
diverse,"(1, 2)"
fabric,"(1, 1)"
mired,"(1, 1)"
poverty,"(1, 3)"
production,"(1, 3)"
slowed,"(1, 2)"
came,"(1, 9)"
halt,"(1, 2)"
ideology,"(1, 6)"
lives,"(1, 4)"
ordinary,"(1, 2)"
well,"(1, 15)"
inner,"(1, 1)"
workings,"(1, 1)"
plenum,"(1, 1)"
11th,"(1, 1)"
committee,"(1, 10)"
december,"(1, 2)"
1978,"(1, 2)"
emerged,"(1, 7)"
de,"(1, 3)"
facto,"(1, 1)"
launched,"(1, 2)"
comprehensive,"(1, 3)"
program,"(1, 3)"
years,"(1, 10)"
direction,"(1, 2)"
entirely,"(1, 1)"
focus,"(1, 2)"
ideological,"(1, 1)"
purity,"(1, 1)"
replaced,"(1, 1)"
full,"(1, 1)"
drive,"(1, 1)"
achieve,"(1, 1)"
material,"(1, 1)"
prosperity,"(1, 2)"
run,"(1, 11)"
agenda,"(1, 1)"
promoted,"(1, 3)"
allies,"(1, 1)"
top,"(1, 3)"
posts,"(1, 2)"
1982,"(1, 1)"
zhao,"(1, 43)"
ziyang,"(1, 17)"
premier,"(1, 9)"
head,"(1, 3)"
september,"(1, 1)"
1980,"(1, 2)"
challenges,"(1, 1)"
aimed,"(1, 2)"
decrease,"(1, 1)"
role,"(1, 8)"
introduced,"(1, 2)"
forms,"(1, 3)"
agriculture,"(1, 2)"
industry,"(1, 3)"
1981,"(1, 1)"
roughly,"(1, 1)"
73,"(1, 1)"
rural,"(1, 1)"
farms,"(1, 1)"
collectivized,"(1, 1)"
owned,"(1, 3)"
enterprises,"(1, 3)"
permitted,"(1, 1)"
retain,"(1, 2)"
profits,"(1, 1)"
